country_code,country_name,weighted_exposure,wc_share,wc_exposure,bc_exposure,exposure_residual_wc
LUX,Luxembourg,0.3715,0.7433635057060991,0.43513647037988756,0.18709718294976976,0.008437219170408461
SGP,Singapore,0.3676,0.737596734890414,0.42402531273193506,0.20895871923098736,0.005931302160810004
NLD,Netherlands,0.3391,0.6354953530268044,0.41392687780549653,0.2085371594556806,0.0021137118319914383
CHE,Switzerland,0.3349,0.6536941661479805,0.4085415108571941,0.19582958097501493,-0.006485744402461746
SWE,Sweden,0.334,0.6415312686297674,0.4089717481495615,0.19994219825171913,-0.004445435330698466
ISR,Israel,0.3333,0.6192095643277918,0.4111260517101757,0.20675201487787512,0.0002507056429497667
DEU,Germany,0.333,0.6093726092591126,0.4154082486024094,0.20445760507508617,0.0023287317821698017
IRL,Ireland,0.3307,0.596585968236293,0.4154757191042386,0.20541179260180795,0.0031198271844353753
GBR,United Kingdom of Great Britain and Northern Ireland,0.3294,0.6444655061600663,0.40327750981449695,0.1955752630906233,-0.009754770027971649
DNK,Denmark,0.3239,0.5725139837106736,0.41336714118617846,0.2041300863073999,0.002139088126989208
BEL,Belgium,0.3231,0.5977152625253319,0.40939378958604633,0.19479320040326384,-0.004753173080327133
USA,United States of America,0.3225,0.6074466198564268,0.3999306484634223,0.2025957753339626,-0.007705671586406115
CYP,Cyprus,0.3219,0.5302091450430658,0.43379755904340134,0.19566358885114457,0.01036603452093704
AUS,Australia,0.3217,0.5830150080310116,0.4071422816623271,0.20234214866126168,-0.002599472855347562
AUT,Austria,0.3211,0.5608959570090347,0.41343915337484666,0.20315309455852196,0.002147677877553378
NOR,Norway,0.3196,0.5886197663523515,0.39579597797968924,0.21052007443132978,-0.006054390276348465
FRA,France,0.3193,0.5859665577924683,0.4088713510549149,0.19254118816219556,-0.005712992682870288
MNE,Montenegro,0.3181,0.4825531459933347,0.4188996253896201,0.2240265738406538,0.018086592522847167
POL,Poland,0.3165,0.5316104998438123,0.4172015863763552,0.20222485211064423,0.004627265224622201
JPN,Japan,0.3161,0.42462288049519814,0.4732799663603831,0.20012313624877243,0.03009089412275462
GRC,Greece,0.3154,0.4449932128087917,0.43177289768416893,0.22203454950847837,0.024466485871612043
PRT,Portugal,0.3139,0.5079735982307021,0.4223855559452707,0.20195587395355036,0.007741347427266065
NIU,Niue,0.3137,0.6091030789825962,0.3892404961704961,0.19607811800519293,-0.01690611085578153
ITA,Italy,0.313,0.5004759524386825,0.42433377806371403,0.20145573490437185,0.008653859281956222
EST,Estonia,0.3115,0.5343555632219618,0.41304354266309773,0.19497869722148387,-0.001036337731930792
HRV,Croatia,0.3107,0.5173177411212455,0.4074034507478416,0.2069889889519285,0.0022824557390169753
FIN,Finland,0.3089,0.5352688174546709,0.40129753712032407,0.2025800306611501,-0.0038571115813560986
LTU,Lithuania,0.3088,0.5250737341756951,0.41233551053967865,0.19439354052029328,-0.0014925100497172328
HUN,Hungary,0.3086,0.49246082172183564,0.41964670867038834,0.2007989298549537,0.006191470079286554
BRN,Brunei Darussalam,0.3071,0.5106144011980192,0.4097695763723252,0.1998806637009777,0.0003029488129626112
TUV,Tuvalu,0.3055,0.5634758995247787,0.40272337094750266,0.18003342770932193,-0.014076008079868418
LVA,Latvia,0.3042,0.515304051962701,0.40806792459207064,0.19382968898197123,-0.0037307467284284357
SVN,Slovenia,0.3041,0.49936383086532116,0.41166112759743617,0.1967497683035527,2.270814351745809e-05
CZE,Czechia,0.3016,0.4894722871783554,0.4087839882721124,0.198916217139233,-8.606923925869037e-05
ESP,Spain,0.3011,0.4623406261179078,0.41319752559071227,0.20465987965813318,0.0059728505435135415
RUS,Russian Federation,0.2982,0.5142888317400955,0.3859553435966437,0.20533211482911243,-0.00948532319954526
PLW,Palau,0.2949,0.440803382663847,0.4234659081382717,0.19352502167402755,0.004979352712418728
ARG,Argentina,0.2937,0.3801806856921887,0.43041195058782766,0.20983941050594004,0.018434533814915333
BGR,Bulgaria,0.2924,0.40987808092858163,0.41458663968421366,0.20755184061766005,0.009955362857456462
WLF,Wallis and Futuna,0.2907,0.4406576980568003,0.419760086650918,0.18901354456458674,0.0008145711109191489
MSR,Montserrat,0.2904,0.47512234910277246,0.4103860134034105,0.18169856198212153,-0.007817055951948149
COK,Cook Islands,0.29,0.44234675588481215,0.39235162628628867,0.20888327659853648,-0.00029374870325343805
MUS,Mauritius,0.2894,0.39578020321469914,0.4335032598373225,0.195060253047046,0.010363442032066406
KOS,Kosovo,0.2879,0.4001793129482813,0.40128254347115133,0.21223297990142342,0.007799983079299244
BRB,Barbados,0.2864,0.4179971741434116,0.3973421677111058,0.20664693707846044,0.0019926197365588427
MKD,North Macedonia,0.2862,0.4049138610061994,0.4061849428087069,0.20463094575565208,0.004955433880841409
SRB,Serbia,0.2847,0.4048457970078571,0.41181293290705967,0.1981957045938907,0.0034718879528655155
BHS,Bahamas,0.2824,0.37127158933043525,0.41976599036153517,0.20128732147573147,0.009288255558804859
BLR,Belarus,0.2821,0.45921210937312607,0.38199480808623965,0.19729542047616694,-0.01227084889964375
URY,Uruguay,0.2807,0.3577500157819042,0.4308768914259075,0.19701868501068465,0.010857016584680967
ARE,United Arab Emirates,0.2806,0.4381220003370528,0.4134646176972947,0.17702118439182868,-0.008672438851348607
MDV,Maldives,0.2797,0.454098005318445,0.4042858854833651,0.17607255648422926,-0.013434544267182436
CHL,Chile,0.2786,0.3865519954647643,0.4006391621759211,0.20166117360484345,0.0017943070806799022
BRA,Brazil,0.2783,0.3470285470073652,0.4177113092604182,0.2041458223337067,0.011048868719683913
CRI,Costa Rica,0.274,0.3440287650677477,0.4264919327246971,0.1940947673804129,0.007474048393126154
TKL,Tokelau,0.2727,0.5651105651105648,0.35366319145049313,0.16756660360797945,-0.04727117888879684
ROU,Romania,0.2717,0.3271711787450036,0.4137227715882026,0.20269730743473768,0.009249270922837782
SUR,Suriname,0.2703,0.37933582121748055,0.3974990521203474,0.19248661439430448,-0.004761225158168625
MHL,Marshall Islands,0.2682,0.3901570341589761,0.392633441658821,0.18861445479337308,-0.009477189859977253
JAM,Jamaica,0.2662,0.3130650883995044,0.42217189975932257,0.19513150348836222,0.007159335452928128
TUR,Türkiye,0.2652,0.3212189979415898,0.4087018980345684,0.19731248522363504,0.004188175689308515
CUB,Cuba,0.2645,0.3801112708032994,0.39625933171611416,0.18376441635208995,-0.010748685543201353
DOM,Dominican Republic,0.264,0.2734456829517245,0.424145148730214,0.20372707186853367,0.014537094131033546
LBN,Lebanon,0.2639,0.3350380438265401,0.3978461547198673,0.19639501907137752,-0.00045249752756160166
MEX,Mexico,0.2638,0.2799800868412916,0.41293581262876944,0.20581827055981328,0.012757440351472471
MNG,Mongolia,0.263,0.33223810599239084,0.382523323451963,0.203483813906624,-0.0006756289934155557
BIH,Bosnia and Herzegovina,0.2628,0.32650762384616827,0.4040655602714404,0.19430442906665102,0.0005096814241789538
COL,Colombia,0.2628,0.29798197983714486,0.4203337100237755,0.1959115261883367,0.007405588401280749
TON,Tonga,0.259,0.35582784686661706,0.3976255384632398,0.18249472729328997,-0.01037831036429504
SOM,Somalia,0.2586,0.367410316220123,0.378993260541821,0.18862088176469946,-0.013578304334690372
FJI,Fiji,0.2585,0.2934020812437304,0.42379869529126957,0.18986895782597354,0.004212751999576936
JOR,Jordan,0.2547,0.24858890215988771,0.4255593667885706,0.19820440432028355,0.01124607496373603
EGY,Egypt,0.2543,0.27017454814224656,0.38936771564876976,0.20423934132658514,0.005627871767765746
IRN,Iran (Islamic Republic of),0.2538,0.25148686102814943,0.4090259936557254,0.20166400451761538,0.009645510420033615
PSE,Palestine (State of),0.2534,0.2851575867808541,0.3782371403685388,0.20354302415329098,0.0011058101360116868
PHL,Philippines,0.2523,0.21507104741517782,0.43201644664420474,0.2030511262233155,0.016948819579016755
SLV,El Salvador,0.2511,0.2007110764772484,0.4152234473722891,0.20986981989733938,0.01922025825190074
THA,Thailand,0.25,0.1812935621957605,0.4255559166111427,0.21111637712797898,0.022814328337376455
GUY,Guyana,0.247,0.24633454432697588,0.39636254520767356,0.19821747086262334,0.004091052735454126
SWZ,Eswatini,0.2438,0.23569518716577462,0.3798828282189925,0.2018456531057371,0.0034630548699755015
PER,Peru,0.2432,0.22474257701523861,0.4088352515776811,0.19512107393800218,0.005510784075691805
IRQ,Iraq,0.2428,0.2623091132590289,0.3758458676382702,0.19545072071082542,-0.003970705523882345
BLZ,Belize,0.2425,0.20160485643512452,0.4255793765205588,0.19629063015468678,0.010404192194091083
BTN,Bhutan,0.2422,0.2857393204401878,0.38128427740077836,0.18657704196271097,-0.010234820561018182
IDN,Indonesia,0.2419,0.1534518810359809,0.4101673960944012,0.21140677108886508,0.021444891310932246
BOL,Bolivia (Plurinational State of),0.2413,0.1815533267035971,0.38153102250177034,0.21017254935447477,0.01405153179257529
NER,Niger,0.2412,0.16720694025883992,0.36357483449041794,0.21665608642342044,0.017419686493983788
KGZ,Kyrgyzstan,0.2401,0.2339759851501624,0.3767316483304324,0.19832182849475677,0.00017866186453655009
CIV,Côte d'Ivoire,0.2397,0.0812449673937601,0.3691415804168951,0.22825743891385894,0.03670048878746482
WSM,Samoa,0.2394,0.2663921927416888,0.395518121237411,0.18267404129749581,-0.008357766018769974
LKA,Sri Lanka,0.2373,0.2439120527127672,0.4034135585735094,0.1837600072924794,-0.005023324138242108
GEO,Georgia,0.237,0.29095961428335476,0.3858807640172004,0.17593584358814693,-0.01669679595145035
PNG,Papua New Guinea,0.2364,0.1648740542285724,0.3792306219679538,0.2081712735832024,0.013183647996406533
TUN,Tunisia,0.2364,0.23843279206540569,0.3961788028494812,0.18642218772014338,-0.004598745043181307
TGO,Togo,0.2353,0.08036568627099551,0.3922789437255933,0.2216082637469891,0.032513049837002844
GTM,Guatemala,0.2337,0.15272951836486087,0.41730620494706017,0.20065663571725245,0.013419518245987555
GMB,Gambia,0.2337,0.11725755987433259,0.3741238526499812,0.2150537147465453,0.02199465597009717
NPL,Nepal,0.2326,0.1624365027908997,0.3826947721054931,0.20351769753485296,0.00997291174662282
PAN,Panama,0.2318,0.275467727346256,0.4085555945970485,0.16458612740424886,-0.018151723230770744
HND,Honduras,0.2314,0.16676082240396742,0.3977659306991833,0.19813142904656872,0.007727532866428577
ALB,Albania,0.2302,0.22302469209911052,0.3765271173556841,0.18819147930510066,-0.007073927330815355
STP,Sao Tome and Principe,0.23,0.14630024248658918,0.4028024596615507,0.20033422154609867,0.011273757945980373
MMR,Myanmar,0.2293,0.08181235943568839,0.4526676727067623,0.20941423026262942,0.026163325092249112
BWA,Botswana,0.2282,0.2457323117470746,0.39597224571590506,0.173485139953493,-0.0145633610738094
KIR,Kiribati,0.2273,0.2245950284574589,0.3901822339361641,0.18013116997942888,-0.0103535469266606
BEN,Benin,0.2272,0.0563913682385775,0.3867707238880779,0.21766821977911632,0.03020870047818422
GIN,Guinea,0.2271,0.08656428483183881,0.3763152576861778,0.21294690387970525,0.022814575024288658
VNM,Viet Nam,0.2253,0.1348121300160646,0.4227472978022388,0.19454356887555657,0.009350941693844594
PAK,Pakistan,0.225,0.1446574530241229,0.3875603599222523,0.19745475290185766,0.006670892654404376
MWI,Malawi,0.2225,0.20646606663511052,0.373513672354931,0.18326638445875745,-0.010770976833631402
ECU,Ecuador,0.2222,0.1595662392150147,0.4010732417950371,0.188215410669829,0.0002667811159806355
TJK,Tajikistan,0.2216,0.24615246795072127,0.3554354654976021,0.17791920766120783,-0.021264931369480294
KHM,Cambodia,0.2208,0.10223844442749282,0.4210568276861184,0.19797405654553973,0.012725438958449603
CPV,Cabo Verde,0.2201,0.1638203572887191,0.4008754220761584,0.18470935170482283,-0.0028616269541962835
GHA,Ghana,0.22,0.11152011887186382,0.37816518366363316,0.20019759916339608,0.009681648650336716
FSM,Micronesia (Federated States of),0.2188,0.26027669951229143,0.3921088616859339,0.1578353250240874,-0.02747938143205636
VUT,Vanuatu,0.2182,0.1813745891875591,0.3936214451734741,0.17935817423504094,-0.00900525946221542
BGD,Bangladesh,0.218,0.0955669252013158,0.3926941084153766,0.19956407768612358,0.011538239565689529
IND,India,0.2166,0.13894169565593892,0.40256138501401695,0.18659787372167735,-0.00034735655664894227
SDN,Sudan,0.2128,0.10370580463052481,0.36872985349936405,0.19477405614453927,0.004370713243622287
TLS,Timor-Leste,0.2076,0.09537343847903683,0.39342730480894583,0.18795822986141225,0.0011850138449211456
AGO,Angola,0.2062,0.0897045841767125,0.37470809510403535,0.18955424739816676,0.001155426093044476
LAO,Lao People's Democratic Republic,0.2054,0.09293008631878069,0.4298731950980168,0.18245230888248568,-0.00042432011423162996
SLE,Sierra Leone,0.2047,0.063015771759573,0.3662806573529462,0.1938127499536518,0.00610728981607539
MLI,Mali,0.2001,0.0460898930314244,0.3812076028533556,0.19139674100023715,0.005599021633877543
SLB,Solomon Islands,0.1992,0.1675415319925151,0.37145698618306183,0.1645778099360457,-0.0246611990933846
KEN,Kenya,0.1988,0.1345126597504563,0.4027866937963256,0.1670939381287722,-0.0170766631275088
BFA,Burkina Faso,0.1977,0.127912396161986,0.3586611365525532,0.17404665805261152,-0.01658108815237258
COD,"Congo, Democratic Republic of the",0.1969,0.1077202672158333,0.36021885143276644,0.17722652629588223,-0.012499759519151638
ZWE,Zimbabwe,0.1918,0.1149302539627383,0.3723797391411522,0.16831291604288792,-0.019342731488410814
AFG,Afghanistan,0.1893,0.08697744309187,0.3621177957803402,0.17279825820505937,-0.01508530355959517
ZMB,Zambia,0.1872,0.0820856168026287,0.37953028241819686,0.16998298302979198,-0.016002733272029418
RWA,Rwanda,0.1862,0.0919553424714552,0.3847944372164841,0.1661361081625283,-0.019388681511452593
UGA,Uganda,0.182,0.0556226148720688,0.355769440995049,0.17177488780132058,-0.014805457908490582
GNB,Guinea-Bissau,0.1788,0.06739509856410601,0.3829360466187824,0.16404192946909932,-0.02085138672973144
ETH,Ethiopia,0.1767,0.0500830836794607,0.39409637841865985,0.1652835644499067,-0.018766308762939443
LSO,Lesotho,0.1748,0.0960537928241224,0.3734641884010593,0.15365796257235037,-0.03177945782392855
TZA,"Tanzania, United Republic of",0.1733,0.043445210724010905,0.3854087121470013,0.16367427017532687,-0.020561641944124687
MDG,Madagascar,0.1662,0.0507978525122849,0.38949354466767955,0.15430006799922294,-0.02943909993216698
MOZ,Mozambique,0.1618,0.0491935182512197,0.36953967703742674,0.1510844894561,-0.033451261542927324
BDI,Burundi,0.144,0.030918694014400096,0.3672784660026192,0.1368901825693873,-0.04683343006749671
