country_code,country_name,gmyrek,eloundou,wc_share,gni_ppp,gmyrek_rank,eloundou_rank
LUX,Luxembourg,0.3715,0.4322035660564742,0.7433635057060991,110650.0,1,2
SGP,Singapore,0.3676,0.4322799481567119,0.737596734890414,126190.0,2,1
NLD,Netherlands,0.3391,0.3908724408076613,0.6354953530268044,84970.0,3,4
CHE,Switzerland,0.3349,0.3900961439267913,0.6536941661479805,91110.0,4,6
SWE,Sweden,0.334,0.3905186601884381,0.6415312686297674,75000.0,5,5
ISR,Israel,0.3333,0.3919740323467994,0.6192095643277918,56790.0,6,3
DEU,Germany,0.333,0.3778025562479672,0.6093726092591126,76180.0,7,8
IRL,Ireland,0.3307,0.3774649687946584,0.596585968236293,101180.0,8,9
GBR,United Kingdom of Great Britain and Northern Ireland,0.3294,0.382153875706324,0.6444655061600663,61460.0,9,7
DNK,Denmark,0.3239,0.367843899955237,0.5725139837106736,84680.0,10,12
BEL,Belgium,0.3231,0.3677453824207904,0.5977152625253319,74770.0,11,13
USA,United States of America,0.3225,0.3688832161594007,0.6074466198564268,85980.0,12,10
CYP,Cyprus,0.3219,0.3611578646307071,0.5302091450430658,56200.0,13,17
AUS,Australia,0.3217,0.3675888702396605,0.5830150080310116,69600.0,14,14
AUT,Austria,0.3211,0.3637454483402061,0.5608959570090347,74160.0,15,16
NOR,Norway,0.3196,0.3681094963497106,0.5886197663523515,106830.0,16,11
FRA,France,0.3193,0.3637501278251036,0.5859665577924683,63880.0,17,15
MNE,Montenegro,0.3181,0.3542606193562857,0.4825531459933347,33970.0,18,19
POL,Poland,0.3165,0.3543857453205241,0.5316104998438123,49540.0,19,18
JPN,Japan,0.3161,0.3473073494674424,0.4246228804951981,55490.0,20,25
GRC,Greece,0.3154,0.3452695014158209,0.4449932128087917,43340.0,21,28
PRT,Portugal,0.3139,0.3516829340888053,0.5079735982307021,50730.0,22,20
ITA,Italy,0.313,0.3446391808057436,0.5004759524386825,61620.0,23,29
EST,Estonia,0.3115,0.3504333364101002,0.5343555632219618,48880.0,24,22
HRV,Croatia,0.3107,0.3494458184436582,0.5173177411212455,49740.0,25,24
FIN,Finland,0.3089,0.3497636222915711,0.5352688174546709,65640.0,26,23
LTU,Lithuania,0.3088,0.3464063429687741,0.5250737341756951,53920.0,27,26
HUN,Hungary,0.3086,0.3396656988680746,0.4924608217218356,47290.0,28,31
BRN,Brunei Darussalam,0.3071,0.3441725522927748,0.5106144011980192,92750.0,29,30
TUV,Tuvalu,0.3055,0.3513645744826677,0.5634758995247787,8320.0,30,21
LVA,Latvia,0.3042,0.3460928200847875,0.515304051962701,42660.0,31,27
SVN,Slovenia,0.3041,0.3360674592806277,0.4993638308653211,56520.0,32,32
CZE,Czechia,0.3016,0.3356660408730055,0.4894722871783554,54800.0,33,34
ESP,Spain,0.3011,0.329692379254044,0.4623406261179078,57670.0,34,35
RUS,Russian Federation,0.2982,0.3359384950349481,0.5142888317400955,46780.0,35,33
PLW,Palau,0.2949,0.3296551286275122,0.440803382663847,18320.0,36,36
ARG,Argentina,0.2937,0.3097456654097275,0.3801806856921887,29800.0,37,43
BGR,Bulgaria,0.2924,0.3197398696876899,0.4098780809285816,39850.0,38,37
COK,Cook Islands,0.29,0.3187262803822469,0.4423467558848121,,39,38
MUS,Mauritius,0.2894,0.315909953586142,0.3957802032146991,35100.0,40,40
KOS,Kosovo,0.2879,0.3130156281012861,0.4001793129482813,18290.0,41,42
BRB,Barbados,0.2864,0.315449142837547,0.4179971741434116,23850.0,42,41
MKD,North Macedonia,0.2862,0.3078326939053635,0.4049138610061994,25610.0,43,45
SRB,Serbia,0.2847,0.3062690531297993,0.4048457970078571,30770.0,44,47
BHS,Bahamas,0.2824,0.3083733980944236,0.3712715893304352,39550.0,45,44
BLR,Belarus,0.2821,0.3164393651947001,0.459212109373126,32300.0,46,39
URY,Uruguay,0.2807,0.299663716388096,0.3577500157819042,34170.0,47,50
ARE,United Arab Emirates,0.2806,0.3063130475370711,0.4381220003370528,81530.0,48,46
MDV,Maldives,0.2797,0.3062262827625358,0.454098005318445,23400.0,49,48
CHL,Chile,0.2786,0.3006872894117147,0.3865519954647643,34320.0,50,49
BRA,Brazil,0.2783,0.2912855432710444,0.3470285470073652,21590.0,51,54
CRI,Costa Rica,0.274,0.2905670975404849,0.3440287650677477,28840.0,52,55
ROU,Romania,0.2717,0.28830635601386,0.3271711787450036,47920.0,53,56
SUR,Suriname,0.2703,0.2918872516411729,0.3793358212174805,20000.0,54,52
MHL,Marshall Islands,0.2682,0.295958242956487,0.3901570341589761,9680.0,55,51
JAM,Jamaica,0.2662,0.2715275251279191,0.3130650883995044,12690.0,56,65
TUR,Türkiye,0.2652,0.2796199136783201,0.3212189979415898,44600.0,57,58
CUB,Cuba,0.2645,0.2917504293360266,0.3801112708032994,,58,53
DOM,Dominican Republic,0.264,0.2673142593364663,0.2734456829517245,26050.0,59,66
LBN,Lebanon,0.2639,0.2787513757508301,0.3350380438265401,12420.0,60,60
MEX,Mexico,0.2638,0.2639874751577206,0.2799800868412916,25460.0,61,68
MNG,Mongolia,0.263,0.2842812791880301,0.3322381059923908,17000.0,62,57
BIH,Bosnia and Herzegovina,0.2628,0.2787813750206823,0.3265076238461682,24990.0,63,59
COL,Colombia,0.2628,0.273873372880646,0.2979819798371448,21890.0,63,64
TON,Tonga,0.259,0.2782337814752094,0.355827846866617,8400.0,65,61
SOM,Somalia,0.2586,0.278005020149535,0.367410316220123,1630.0,66,62
FJI,Fiji,0.2585,0.2654392965624399,0.2934020812437304,14490.0,67,67
JOR,Jordan,0.2547,0.2741007667918667,0.2485889021598877,10570.0,68,63
EGY,Egypt,0.2543,0.2626365422046361,0.2701745481422465,18230.0,69,69
IRN,Iran (Islamic Republic of),0.2538,0.2593565840841189,0.2514868610281494,19820.0,70,72
PSE,Palestine (State of),0.2534,0.2574032003386002,0.2851575867808541,4660.0,71,74
PHL,Philippines,0.2523,0.2541412243253087,0.2150710474151778,13330.0,72,75
SLV,El Salvador,0.2511,0.2474193108626473,0.2007110764772484,12420.0,73,79
THA,Thailand,0.25,0.2484899310522813,0.1812935621957605,23960.0,74,78
GUY,Guyana,0.247,0.257548706462801,0.2463345443269758,52290.0,75,73
SWZ,Eswatini,0.2438,0.245567824605022,0.2356951871657746,10760.0,76,82
PER,Peru,0.2432,0.2426836949369187,0.2247425770152386,16780.0,77,84
IRQ,Iraq,0.2428,0.2594977840472051,0.2623091132590289,14530.0,78,71
BLZ,Belize,0.2425,0.2485791182769186,0.2016048564351245,13760.0,79,77
BTN,Bhutan,0.2422,0.2615716331325143,0.2857393204401878,15320.0,80,70
IDN,Indonesia,0.2419,0.2355551688500386,0.1534518810359809,16010.0,81,88
BOL,Bolivia (Plurinational State of),0.2413,0.2378533902080255,0.1815533267035971,12620.0,82,87
NER,Niger,0.2412,0.2336629795755383,0.1672069402588399,2030.0,83,92
KGZ,Kyrgyzstan,0.2401,0.2469615779158632,0.2339759851501624,7900.0,84,80
CIV,Côte d'Ivoire,0.2397,0.2302192241759822,0.0812449673937601,7360.0,85,93
WSM,Samoa,0.2394,0.2467871303259958,0.2663921927416888,8620.0,86,81
LKA,Sri Lanka,0.2373,0.2418876520494562,0.2439120527127672,15240.0,87,85
GEO,Georgia,0.237,0.2453580757974776,0.2909596142833547,26200.0,88,83
PNG,Papua New Guinea,0.2364,0.2297569504314924,0.1648740542285724,4580.0,89,94
TUN,Tunisia,0.2364,0.2382370897856848,0.2384327920654056,14230.0,89,86
TGO,Togo,0.2353,0.2207769785665272,0.0803656862709955,3380.0,91,100
GTM,Guatemala,0.2337,0.2254662301264053,0.1527295183648608,14170.0,92,96
GMB,Gambia,0.2337,0.2220395152372824,0.1172575598743325,3430.0,92,99
NPL,Nepal,0.2326,0.2228190255439639,0.1624365027908997,5830.0,94,98
PAN,Panama,0.2318,0.2529989975187054,0.275467727346256,39260.0,95,76
HND,Honduras,0.2314,0.2236571984186075,0.1667608224039674,6900.0,96,97
ALB,Albania,0.2302,0.2341006040676589,0.2230246920991105,26500.0,97,90
MMR,Myanmar,0.2293,0.2199872661015849,0.0818123594356883,5890.0,98,103
BWA,Botswana,0.2282,0.2346954760539341,0.2457323117470746,20570.0,99,89
KIR,Kiribati,0.2273,0.2338695015552722,0.2245950284574589,6060.0,100,91
BEN,Benin,0.2272,0.2135693762072178,0.0563913682385775,4390.0,101,107
GIN,Guinea,0.2271,0.2076855104282961,0.0865642848318388,4130.0,102,112
VNM,Viet Nam,0.2253,0.2093126524230351,0.1348121300160646,15850.0,103,110
PAK,Pakistan,0.225,0.2200491331384956,0.1446574530241229,6100.0,104,102
MWI,Malawi,0.2225,0.2202847829864117,0.2064660666351105,1830.0,105,101
ECU,Ecuador,0.2222,0.2174020714607737,0.1595662392150147,15410.0,106,104
TJK,Tajikistan,0.2216,0.226259777351385,0.2461524679507212,7100.0,107,95
KHM,Cambodia,0.2208,0.2089797407408416,0.1022384444274928,7910.0,108,111
CPV,Cabo Verde,0.2201,0.2119545204599934,0.1638203572887191,11000.0,109,109
GHA,Ghana,0.22,0.2072147285700111,0.1115201188718638,7720.0,110,113
VUT,Vanuatu,0.2182,0.2158157421031998,0.1813745891875591,4140.0,111,105
BGD,Bangladesh,0.218,0.2121822695143612,0.0955669252013158,10060.0,112,108
IND,India,0.2166,0.2143491865291008,0.1389416956559389,11000.0,113,106
SDN,Sudan,0.2128,0.1980111244404072,0.1037058046305248,2050.0,114,114
AGO,Angola,0.2062,0.1898104356540919,0.0897045841767125,9460.0,115,116
LAO,Lao People's Democratic Republic,0.2054,0.1951615567884207,0.0929300863187806,9160.0,116,115
SLE,Sierra Leone,0.2047,0.1862396569972879,0.063015771759573,3490.0,117,118
MLI,Mali,0.2001,0.1839588303325475,0.0460898930314244,3230.0,118,119
BFA,Burkina Faso,0.1977,0.179551147138174,0.127912396161986,2720.0,119,120
COD,"Congo, Democratic Republic of the",0.1969,0.187709523714273,0.1077202672158333,1760.0,120,117
ZWE,Zimbabwe,0.1918,0.1774989425331251,0.1149302539627383,5870.0,121,121
ZMB,Zambia,0.1872,0.167547055266586,0.0820856168026287,3850.0,122,123
RWA,Rwanda,0.1862,0.167753626456779,0.0919553424714552,3620.0,123,122
UGA,Uganda,0.182,0.1610146126572288,0.0556226148720688,3190.0,124,124
GNB,Guinea-Bissau,0.1788,0.1566382633421392,0.067395098564106,3140.0,125,125
ETH,Ethiopia,0.1767,0.1540719108181935,0.0500830836794607,3280.0,126,127
LSO,Lesotho,0.1748,0.1509401704502444,0.0960537928241224,3580.0,127,128
TZA,"Tanzania, United Republic of",0.1733,0.156311361477373,0.0434452107240109,4130.0,128,126
MDG,Madagascar,0.1662,0.1498690538178919,0.0507978525122849,1830.0,129,129
MOZ,Mozambique,0.1618,0.1339636887671502,0.0491935182512197,1520.0,130,130
BDI,Burundi,0.144,0.1122543512862547,0.0309186940144,1200.0,131,131
